Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CR,CRSJO,San José,CRSJO,San José,E2E,CR180314CU,J5GJ0001800076253,2018-08-09,2018-08-09,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180315CU,J5GJ0001800076253,2018-08-13,2018-08-13,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,0,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180320CU,J5GJ0001800076230,2018-08-16,2018-08-16,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180321CU,J5GJ0001800076229,2018-08-16,2018-08-16,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180323CU,J5GJ0001800076227,2018-08-20,2018-08-20,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180328CU,J5GJ0001800076255,2018-08-28,2018-08-28,CU,CUHAV,Havana,CUHCT,Habana,2018-09-13,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180332CU,J5GJ0001800076231,2018-09-14,2018-09-14,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180333CU,J5GJ0001800076232,2018-09-14,2018-09-14,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180334CU,J5GJ0001800076233,2018-09-17,2018-09-17,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180056UY,J5GJ0001800076804,2018-08-07,2018-08-07,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-08-14,1,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101MK,J5GJ0001800091971,2018-08-13,2018-08-13,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180103UY,J5GJ0001800076853,2018-08-03,2018-08-03,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180117UY,J5GJ0001800076867,2018-08-30,2018-08-30,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-09-18,1,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180129BO,J5GJ0001800050549,2018-08-09,2018-08-09,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180139BO,J5GJ0001800050559,2018-09-06,2018-09-06,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180139UY,J5GJ0001800076889,2018-08-28,2018-08-28,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180143MK,J5GJ0001800092013,2018-09-07,2018-09-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180143UY,J5GJ0001800076893,2018-09-05,2018-09-05,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180144MK,J5GJ0001800092014,2018-09-07,2018-09-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180157BO,J5GJ0001800050518,2018-09-18,2018-09-18,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180158BO,J5GJ0001800050517,2018-09-14,2018-09-14,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180160UY,J5GJ0001800076910,2018-09-25,2018-09-25,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180169BO,J5GJ0001800050336,2018-09-18,2018-09-18,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180170BO,J5GJ0001800050337,2018-09-20,2018-09-20,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,,,,,,,,,,0,0,,,,0,0,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180172MK,J5GJ0001800092042,2018-09-27,2018-09-27,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,,,,,,,,,,0,0,,,,0,0,0
UY,UYMVD,Montevideo,UYMVD,Montevideo,E2E,UY180097CU,J5GJ0001800077202,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
UY,UYMVD,Montevideo,UYMVD,Montevideo,E2E,UY180098CU,J5GJ0001800077201,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
UY,UYMVD,Montevideo,UYMVD,Montevideo,E2E,UY180099CU,J5GJ0001800077200,2018-08-03,2018-08-03,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
UY,UYMVD,Montevideo,UYMVD,Montevideo,E2E,UY180100CU,J5GJ0001800077210,2018-08-06,2018-08-06,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
UY,UYMVD,Montevideo,UYMVD,Montevideo,E2E,UY180101CU,J5GJ0001800077211,2018-08-07,2018-08-07,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
