Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CR,CRSJO,San José,CRSJO,San José,E2E,CR180314CU,J5GJ0001800076253,2018-08-09,2018-08-09,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180320CU,J5GJ0001800076230,2018-08-16,2018-08-16,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,,,,,,,,,,0,0,,,,0,0,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180321CU,J5GJ0001800076229,2018-08-16,2018-08-16,CU,CUHAV,Havana,CUHCT,Habana,,0,1,,,,,,,,,,0,0,,,,0,0,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180106CU,J5GJ0001800092336,2018-08-01,2018-08-01,CU,CUHAV,Havana,CUHCT,Habana,2018-08-01,0,1,2018-08-01 20:17:02.1060000,Wednesday,MK,MKSKPB,OE 1003 SKOPJE B,Skopje,Gate 2 - 1005 - Process Area Exit,J11DJ0001700000252,Process,0,0,,,0,0,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076850,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:44:12.9820000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:44:13.7000000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:44:57.4490000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180101UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:46:57.4490000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076850,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:45:59.0800000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,free,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180102UY,J5GJ0001800076852,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:30:01.0680000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180102UY,J5GJ0001800076852,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:39:54.1130000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU18010UY,J5GJ0001800076852,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:50:01.0680000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180102UY,J5GJ00018000852,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:39:54.1130000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,MK180104UY,J5GJ0001800076854,2018-08-03,2018-08-03,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:44:52.5300000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180104MK,J5GJ0001800076854,2018-08-03,2018-08-03,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:45:55.0820000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,180134UY,J5GJ0001800076884,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:46:33.7300000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180134,J5GJ0001800076884,2018-08-02,2018-08-02,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-08 07:47:33.7490000,Wednesday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180099BO,J5GJ0001800050581,2018-08-02,2018-08-02,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-14 07:20:11.5260000,Tuesday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180099BO,J5GJ0001800050581,2018-08-02,2018-08-02,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-14 07:20:27.0260000,Tuesday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180099BO,J5GJ0001800050581,2018-08-02,2018-08-02,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-14 08:28:00.6750000,Tuesday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,4,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180099BO,J5GJ0001800050581,2018-08-02,2018-08-02,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-14 08:28:10.8620000,Tuesday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,4,0
CA,CAHAV,Havana,CAHCT,Habana,E2E,CA180136UY,J5GJ0001800076886,2018-08-15,2018-08-15,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-16 08:37:37.2830000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,8,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180135CA,J5GJ0001800076885,2018-08-14,2018-08-14,CA,CAMVD,Montevideo,CAMVD,Montevideo,2018-10-02,1,1,2018-08-16 08:37:37.5210000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100MK,J5GJ0001800091970,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-16 08:45:08.6800000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office exit,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100MK,J5GJ0001800091970,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-16 08:50:08.6800000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000060,Reader at the office entrance,1,0,,,0,1,6,0
