Measurement: GMS E2E, Cycle: January 2018 to December 2019;;;;
Posting plan from 29.10.2019 to 27.12.2019;;;;
;;;;
;;CU02;CU03;CU04
;;;;
Monday;12.11.2018;CR13,MK04;UY04,MK02;CR09
Tuesday;13.11.2018;UA12,UA09;UA11,MK03;UY02
Wednesday;14.11.2018;UY03;CR12,UA12;UA09,MK04
Thursday;31.10.2019;MK03;CR12,UA11;MK02
Friday;01.11.2019;UY02,CR13;CR09;UY03,UY04
;;;;
Monday;04.11.2019;UY02,UY03;CR12,MK04;MK03,UA11
Tuesday;05.11.2019;MK02;;CR13,UA12
Wednesday;06.11.2019;UY04,UA09;CR09,UA11;UA09,CR09
Thursday;07.11.2019;MK04,UY04;UY02;CR12,MK03
Friday;08.11.2019;UA12;CR13,UY03;MK02
;;;;
Monday;11.11.2019;UA11;CR09;UY04,CR13
Tuesday;12.11.2019;UA09;UY03,MK04;MK02,UY02
Wednesday;13.11.2019;CR12,MK03;UA12,UA09;UA11,MK03
Thursday;14.11.2019;MK02;UY02,MK04;UA12
Friday;15.11.2019;CR13,CR09;CR12,UY04;UY03
;;;;
Monday;18.11.2019;MK04;CR09;UA09,MK02
Tuesday;19.11.2019;UA11,CR12;UY04,CR13;UY02,UA12
Wednesday;20.11.2019;UY03;MK03,UY02;CR13,UY04
Thursday;21.11.2019;UY03,CR09;MK03;UA12
Friday;22.11.2019;CR12,UA09;MK04,UA11;MK02
