Measurement: GMS E2E, Cycle: January 2018 to December 2019;;;;
Posting plan from 12.11.2018 to 21.12.2018;;;;
;;;;
;;CU02;CU03;CU04
;;;;
Monday;12.11.2018;CR11;UY03,UY04;BO04,CR10
Tuesday;13.11.2018;UY02,CR09;BO03,MK02;MK04
Wednesday;14.11.2018;MK03;BO02,UY03;CR11
Thursday;15.11.2018;UY04,CR10;BO02,MK04;CR09
Friday;16.11.2018;UY02,MK03;MK02;BO04,BO03
;;;;
Monday;19.11.2018;UY04,CR09;BO04;BO02,UY03
Tuesday;20.11.2018;MK04;UY02,BO03;MK03,MK02
Wednesday;21.11.2018;CR11,CR10;BO02;UY04,CR09
Thursday;22.11.2018;CR11;MK03,BO03;CR10,UY02
Friday;23.11.2018;MK04,BO04;UY03;MK02
;;;;
Monday;26.11.2018;CR10,UY02;BO04,CR11;UY04,MK04
Tuesday;27.11.2018;BO02;MK03,BO03;BO02
Wednesday;28.11.2018;UY03,CR09;MK02;CR11
Thursday;29.11.2018;BO03;BO02,UY04;BO04,UY03
Friday;30.11.2018;CR10,UY02;BO03,MK04;CR09,MK03
;;;;
Monday;03.12.2018;CR10,BO02;CR09;UY02,BO03
Tuesday;04.12.2018;UY04;MK04,BO04;CR11
Wednesday;05.12.2018;MK03,MK02;UY03,MK03;UY02,UY04
Thursday;06.12.2018;BO04,MK04;UY03;CR10,MK02
Friday;07.12.2018;CR09;CR11;BO03,BO02
;;;;
Monday;10.12.2018;MK03;CR11,UY03;MK02,BO04
Tuesday;11.12.2018;BO02,UY02;UY04;MK04,CR10
Wednesday;12.12.2018;BO03;CR09,CR11;BO04,CR10
Thursday;13.12.2018;BO03,BO02;UY02,CR09;MK02
Friday;14.12.2018;UY04,UY03;MK04;MK03
;;;;
Monday;17.12.2018;CR11,CR09;BO04;UY02,MK03
Tuesday;18.12.2018;CR10,UY03;UY04;MK04
Wednesday;19.12.2018;MK02,BO03;BO02,BO03;UY02,BO02
Thursday;20.12.2018;MK03,MK04;MK02,UY03;CR10
Friday;21.12.2018;CR09,UY04;BO04,CR11;MK03
